file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\output\BooleanOutput.java,com.lambdaworks.redis.output.BooleanOutput,class,4,7,1,6,5,2,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,2,0,1,2,0,0,0,0,0,0,28,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\RedisAsyncConnection.java,com.lambdaworks.redis.RedisAsyncConnection,class,40,54,4,50,229,2,0,58,0,0.8796296,0.77683246,0.83987784,192,0,191,0,1,0,192,0,0,4,9,0,0,3,6,0,0,0,5,844,191,5,10,3,2,12,8,151,4,140,3,0,0,0,341,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\ZStoreArgs.java,com.lambdaworks.redis.ZStoreArgs$Builder,innerclass,2,2,0,2,4,1,0,4,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\output\KeyOutput.java,com.lambdaworks.redis.output.KeyOutput,class,4,7,1,6,3,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,12,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\protocol\CommandType.java,com.lambdaworks.redis.protocol.CommandType,enum,1,4,3,1,1,1,0,2,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\output\KeyListOutput.java,com.lambdaworks.redis.output.KeyListOutput,class,3,7,1,6,2,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\protocol\CommandKeyword.java,com.lambdaworks.redis.protocol.CommandKeyword,enum,1,3,2,1,1,1,0,2,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\pubsub\RedisPubSubAdapter.java,com.lambdaworks.redis.pubsub.RedisPubSubAdapter,class,3,3,0,3,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\protocol\RedisStateMachine.java,com.lambdaworks.redis.protocol.RedisStateMachine$State$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\ZStoreArgs.java,com.lambdaworks.redis.ZStoreArgs$Aggregate,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\protocol\ConnectionWatchdog.java,com.lambdaworks.redis.protocol.ConnectionWatchdog,class,9,11,2,9,8,2,0,7,3,0.6666667,0.4,1.0,6,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,36,0,0,0,0,0,0,3,7,1,7,2,0,0,0,70,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\output\ScoredValueListOutput.java,com.lambdaworks.redis.output.ScoredValueListOutput,class,5,9,1,8,3,2,0,4,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,15,1,0,1,0,0,0,0,3,0,2,1,0,0,0,22,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\ZStoreArgs.java,com.lambdaworks.redis.ZStoreArgs,class,6,11,4,7,12,1,0,3,0,0.4,0.7,1.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,0,0,0,60,4,2,2,0,0,0,0,4,0,2,2,0,2,0,45,1,0
C:\Users\syuuj\gitProject\redisson\src\main\java\com\lambdaworks\redis\pubsub\RedisPubSubAdapter.java,com.lambdaworks.redis.pubsub.RedisPubSubAdapter,class,3,3,0,3,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
