file,class,method,variable,usage
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,RedissonKeys/1[org.redisson.CommandAsyncExecutor],commandExecutor,3
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,findKeysByPatternAsync/1[java.lang.String],commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,getSlotAsync/1[java.lang.String],commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,deleteAsync/1[java.lang.String[]],commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,countAsync/0,commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,randomKeyAsync/0,commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,deleteByPatternAsync/1[java.lang.String],commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,getKeysByPattern/1[java.lang.String],commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,randomKey/0,commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,findKeysByPattern/1[java.lang.String],commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,getSlot/1[java.lang.String],commandExecutor,1
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,"scanIterator/3[int,long,java.lang.String]",commandExecutor,4
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,deleteByPattern/1[java.lang.String],commandExecutor,1
