file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$10,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService,0.0,-1.0,153.0,5.0,0.03164557,-1.0,17.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys$1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$1,0.0,0.0,2.0,3.0,0.6,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys$2,0.0,-1.0,4.0,15.0,0.7894737,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$2,0.0,0.0,5.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys$3,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$3,0.0,0.0,3.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys$4,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$4,0.0,0.0,2.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys$5,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$5,0.0,0.0,22.0,0.0,0.0,-1.0,3.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$6,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$7,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$8,0.0,0.0,4.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\command\CommandAsyncService.java,org.redisson.command.CommandAsyncService$9,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\redisson\src\main\java\org\redisson\RedissonKeys.java,org.redisson.RedissonKeys,0.0,-1.0,43.0,2.0,0.044444446,-1.0,8.0
