file,class,method,variable,usage
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,setNodeAddresses/1[java.util.List<java.lang.String>],nodeAddresses,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,"setNatMap/1[java.util.Map<java.lang.String,java.lang.String>]",natMap,1
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,"setNatMap/1[java.util.Map<java.lang.String,java.lang.String>]",mapper,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,setScanInterval/1[int],scanInterval,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,ClusterServersConfig/1[org.redisson.config.ClusterServersConfig],config,8
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,addNodeAddress/1[java.lang.String[]],addresses,1
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,setShardedSubscriptionMode/1[org.redisson.config.ShardedSubscriptionMode],shardedSubscriptionMode,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,setDatabase/1[int],database,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,setCheckSlotsCoverage/1[boolean],checkSlotsCoverage,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,setNatMapper/1[org.redisson.config.NatMapper],natMapper,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\config\ClusterServersConfig.java,org.redisson.config.ClusterServersConfig,setCheckMasterLinkStatus/1[boolean],checkMasterLinkStatus,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",cfg,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",e,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",slaveAddresses,1
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",f,1
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",slot,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",masterClient,0
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",fs,1
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",connectionFuture,1
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",result,2
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",entry,5
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClusterConnectionManager.java,org.redisson.connection.ClusterConnectionManager,"addMasterEntry/2[org.redisson.connection.ClusterPartition,org.redisson.connection.ClusterServersConfig]",r,5
